"Band_mom","FamilyID_mom","num.mates","num.clutches","num.chicks"
"2640-97347","MakeBelieve-26",2,3,13
"2640-97370","Cooks-23",3,3,14
"2640-97385","MakeBelieve-69",2,2,8
"2640-97596","MakeBelieve-20",3,2,8
"2850-57550","Cathys-03",1,2,8
"2850-57551","Struthers-20",2,3,13
"2850-57553","Schaaps-108",3,3,12
"2850-57555","Reinarz-01",1,1,5
"2850-57556","Schaaps-80",4,3,12
"2850-57558","Cooks-31",4,2,6
"2850-57603","Schaaps-54",3,2,7
"2850-57608","UrbanFarm-02",1,1,4
"2850-57609","Cooks-24",1,3,13
"2850-57610","BlueCloud-14",2,2,9
"2850-57612","BlueCloud-09",2,2,10
"2850-57853","Cooks-27",3,2,8
