"clutch_id_ind1","FamilyID_mom","Brood_ind1","Site_ind1","num.wp","num.ep","clutch.size","prop.wp","prop.ep","num.wp.collected","num.ep.collected","clutch.size.collected","prop.wp.collected","prop.ep.collected","prob_50","prob_55","prob_60","prob_65","prob_70","prob_75","prob_80","prob_85","prob_90","prob_95","bird","total.points","number.close50","number.close100","proportion.close.50","proportion.close.100","B_avg.bright.female","B_avg.bright.male","mass","est.max.dist","mates.collected","chicks.collected","mates.replacement","chicks.replacement","mates.collected.ep","mates.replacement.ep","log.kde90","log.kde50","log.max.dist","group.size","diff.ep.prop","diff.num.ep","diff.ep.sires"
"Blue Cloud_21_1","BlueCloud-09","1","Blue Cloud",2,3,5,0.4,0.6,0,5,5,0,1,36.94411,43.78561,53.36371,62.94182,73.88822,87.57122,103.99083,125.88363,155.98624,210.71826,"bc09",71,7,23,0.0985915492957746,0.323943661971831,25.88971918,40.56644899,19.18,1536.05758734249,1,5,2,5,1,1,5.04976779823103,3.60940623008714,7.33697440476425,5,-0.4,-2,0
"Blue Cloud_22_2","BlueCloud-14","1","Blue Cloud",5,0,5,1,0,1,3,4,0.25,0.75,10.24676,12.10981,14.90438,17.69895,21.42505,27.01419,33.53486,43.78162,58.686,88.49477,"bc14",64,17,27,0.265625,0.421875,24.4113443,23.36988036,18.01,1363.6124332062,2,4,1,5,1,0,4.07220119753641,2.32696155805408,7.21789265814987,5,-0.75,-3,-1
"Cook's_22_1","Cooks-23","1","Cooks",1,4,5,0.2,0.8,5,0,5,1,0,14.51413,17.00227,19.90509,23.22261,26.54012,30.68702,36.07798,42.71301,52.66556,73.40003,"co23",97,3,34,0.0309278350515464,0.350515463917526,26.03038219,22.38608342,19.33,854.80320305482,1,5,3,5,0,2,3.96396173147986,2.67512265768506,6.75087127057744,5,0.8,4,2
"Hepp (near Cook)_1_1","Cooks-31","1","Cooks",0,2,2,0,1,3,1,4,0.75,0.25,117.6289,138.3869,166.0643,193.7417,235.2577,283.6931,366.7253,518.9509,795.7246,1259.3207,"co31",77,0,1,0,0.012987012987013,22.18986374,23.20193254,20.4,5275.62963457813,2,4,2,2,1,2,6.67925314608003,4.76753475357268,8.57085331322652,5,0.75,1,1
"Make Believe_14_1","MakeBelieve-69","1","Make Believe",0,3,3,0,1,5,0,5,1,0,8.017311,9.35353,11.135154,13.362185,16.925434,21.824902,29.396807,39.641149,54.339553,81.509329,"mb69",115,0,73,0,0.634782608695652,25.30787803,19.70544367,20.4,1125.54853858803,1,5,1,3,0,1,3.99525237797983,2.0816030788742,7.02602578566124,5,1,3,1
"Make Believe_34_1","MakeBelieve-26","1","Make Believe",2,3,5,0.4,0.6,5,0,5,1,0,8.348268,10.163109,11.97795,14.155759,17.059504,20.689186,26.133709,33.75604,46.096958,67.51208,"mb26",75,2,33,0.0266666666666667,0.44,28.52182951,19.50506979,18.1,1280.57254203959,1,5,2,5,0,1,3.83074696084055,2.12205409219749,7.15506255537395,5,0.6,3,1
"Mary Ann's_1_2","Cathys-03","1","Cathy's",4,0,4,1,0,4,0,4,1,0,17.43797,21.46212,26.82765,32.19318,38.90009,49.63115,65.72774,91.21401,130.11411,193.15909,"ca03",128,11,15,0.0859375,0.1171875,30.57395314,16.83124958,18,1487.40129503815,1,4,1,4,0,0,4.86841183467223,2.85865001262337,7.30478577894124,2,0,0,0
"Schaap's_32_1","Schaaps-108","1","Schaaps",2,1,3,0.666666666666667,0.333333333333333,5,0,5,1,0,53.9875,61.34944,69.52936,78.52728,89.16118,100.61308,115.33694,133.33278,158.69054,202.86214,"sc108",72,11,13,0.152777777777778,0.180555555555556,34.41601196,23.11714357,18.47,1586.3880188307,1,5,2,3,0,1,5.06695601642989,3.98875253828682,7.36921502475063,10,0.333333333333333,1,1
"Schaap's_59_1","Schaaps-80","1","Schaaps",4,0,4,1,0,0,5,5,0,1,94.50539,108.6812,127.58228,151.20863,179.56024,212.63713,250.43929,307.14252,382.74683,510.32911,"sc80",110,11,28,0.1,0.254545454545455,20.31147225,17.0660668,20.9,2976.91266911148,1,5,1,4,1,0,5.94737375233498,4.54865686991018,7.99864202538612,10,-1,-5,-1
"Struther's_20_1","Struthers-20","1","Struthers",2,2,4,0.5,0.5,5,0,5,1,0,12.09808,14.11443,16.53404,19.7602,23.38962,29.0354,35.89097,45.97271,60.49041,83.47676,"st20",61,17,20,0.278688524590164,0.327868852459016,28.12707876,22.48016284,20.3,1031.51322473585,1,5,2,4,0,1,4.10248484007568,2.49304676232611,6.93878215330731,1,0.5,2,1
NA,"Cooks-27",NA,"Cooks",NA,NA,NA,NA,NA,0,4,4,0,1,7.516997,8.590854,9.664711,11.812424,15.033994,17.181708,20.403278,25.772562,37.584986,56.914407,"co27",96,1,46,0.0104166666666667,0.479166666666667,25.65625789,39.37240611,18.8,1493.49973721871,2,4,NA,NA,1,NA,3.62660466214034,2.01716672309987,7.30887746170617,5,NA,NA,NA
