"Band_mom","FamilyID_mom","clutch_id_ind1","Brood_ind1","num.mates","num.clutches","num.chicks"
"2640-97347","MakeBelieve-26","MakeBelieve-26_egg","collected",1,1,5
"2640-97370","Cooks-23","Cooks-23_egg","collected",1,1,5
"2640-97385","MakeBelieve-69","MakeBelieve-69_egg","collected",1,1,5
"2850-57550","Cathys-03","Cathys-03_egg","collected",1,1,4
"2850-57551","Struthers-20","Struthers-20_egg","collected",1,1,5
"2850-57553","Schaaps-108","Schaaps-108_egg","collected",1,1,5
"2850-57555","Reinarz-01","Reinarz-01_egg","collected",1,1,5
"2850-57556","Schaaps-80","Schaaps-80_egg","collected",1,1,5
"2850-57558","Cooks-31","Cooks-31_egg","collected",2,1,4
"2850-57603","Schaaps-54","Schaaps-54_egg","collected",1,1,4
"2850-57608","UrbanFarm-02","UrbanFarm-02_egg","collected",1,1,4
"2850-57609","Cooks-24","Cooks-24_egg","collected",1,1,5
"2850-57610","BlueCloud-14","BlueCloud-14_egg","collected",2,1,4
"2850-57612","BlueCloud-09","BlueCloud-09_egg","collected",1,1,5
"2850-57853","Cooks-27","Cooks-27_egg","collected",2,1,4
